# Chapter 1 continuation: Felix arrives at school
（<ruby=せいおうがくえん>聖皇学園</ruby>の見慣れた朝の登校風景。）	（<ruby=せいおうがくえん>圣皇学园</ruby>熟悉的清晨上学景象。）
（いつもなら何て事の無い日常だが\nいつからか、その日常は破壊された。）	（这本该是平淡无奇的日常，\n但不知从何时起，这份日常已被摧毁。）
（あのクソ野郎の存在によって。）	（被那个混蛋的存在彻底摧毁。）
女子生徒A	女学生A
「あ、見て！　川島君よ！」	“啊，快看！是川岛同学！”
女子生徒B	女学生B
「ほんとだ！\n川島ユート君が登校してきたわッ！」	“真的！\n川岛悠斗同学来上学了！”
「やあ。おはよう。皆。」	“嗨，大家早上好。”
（俺の身体を乗っ取った<ruby=ちょうほんにん>張本人</ruby>。\nフェイリクスのクソ野郎はニヤけ<ruby=ヅラ>面</ruby>を<ruby=さら>晒</ruby>しながら\n遅刻ギリギリに登校してきやがった。）	（夺走我身体的<ruby=ちょうほんにん>罪魁祸首</ruby>。\n费利克斯那个混蛋把<ruby=ヅラ>得意扬扬的嘴脸</ruby><ruby=さら>暴露无遗</ruby>，\n踩着迟到的最后一刻来到学校。）
女子生徒C	女学生C
「キャー！おはよー！\n川島くーん！」	“呀——！早上好！\n川岛同学——！”
女子生徒D	女学生D
「おはよー！　ユート君！」	“早上好！悠斗同学！”
女子生徒E	女学生E
「え！　川島君！\n登校！？　私も挨拶に行かなきゃ！」	“欸！川岛同学！\n来学校了！？我也得过去打招呼！”
女子生徒G	女学生G
「私も私もー！」	“我也去，我也去——！”
（フェイリクスによって\n洗脳された大勢の女子共が\n登校してきたフェイリクスを<ruby=われさき>我先</ruby>に取り囲む。）	（大群遭到费利克斯\n洗脑的女生，\n<ruby=われさき>争先恐后</ruby>地围住刚到学校的费利克斯。）
「キャー！川島君こっち向いてー！」	“呀——！川岛同学，看这边——！”
「こ、これ！私が作って来たお弁当！\n受け取ってください！」	“这、这是我亲手做的便当！\n请收下！”
「おやおや。随分と熱烈な歓迎だね。\n僕の女の子達。」	“哎呀呀，真是热烈的欢迎。\n我的女孩们。”
「けれど、これだけの人数。\n一度には相手出来ないよ。困ったね。」	“不过人数这么多，\n我没办法同时照顾所有人。真伤脑筋。”
「こらぁー！あんた達！\nユートが迷惑してるでしょ！\nさっさと離れなさい！」	“喂——！你们几个！\n悠斗都觉得困扰了吧！\n赶紧离开！”
「あー。うるさい風紀委員長が来たわ。」	“啊——，烦人的风纪委员长来了。”
「風紀委員長だからっていつも川島君の\n近くをウロウロして邪魔なのよねー。」	“就仗着自己是风纪委员长，\n整天在川岛同学身边转来转去，真碍事——。”
「そうそう。警備だとか何とか言って\n<ruby=しょっけんらんよう>職権乱用</ruby>も<ruby=はなは>甚</ruby>だしいわよねー。」	“没错没错。嘴上说什么警卫，\n其实根本是在<ruby=しょっけんらんよう>滥用职权</ruby>，实在<ruby=はなは>过分</ruby>——。”
「な、なんですってぇぇええ～～ッ！！\n誰のおかげで学園の治安が維持出来てると思ってんのよッ！\nこの恩知らず共がぁあああ～～ッ！！」	“你、你们说什么————！！\n以为学园的治安是靠谁维持的！\n你们这群忘恩负义的家伙————！！”
「まったく。自分の学園の生徒すら<ruby=よくせい>抑制</ruby>出来ないなんて\n風紀委員長が聞いて呆れるわね。\n盾なんとかさん。」	“真是的，连自己学园的学生都无法<ruby=よくせい>管束</ruby>，\n还敢自称风纪委员长。\n盾什么来着小姐。”
「獅堂ミナトッ！だったら、\nあんたが何とかしなさいよッ！\nっていうか盾なんとかって言うなッ！」	“狮堂凑！既然这样，\n你倒是想想办法啊！\n还有，别叫我盾什么来着！”
「嫌よ。あなたの指図を受けるなんて\nまっぴらごめんだわ。」	“不要。要我听从你的指挥，\n我敬谢不敏。”
「あんですってぇええ～～ッ！！\nちょっと<ruby=おもて>表</ruby>出なさいよッ！！\nその減らず口、二度と叩けないようにしてやるッ！」	“你说什么————！！\n给我到<ruby=おもて>外面</ruby>来！！\n我要让你这张嘴再也说不出风凉话！”
「はぁ。馬鹿の相手をするのは疲れるわ。」	“唉，和笨蛋打交道真累。”
「獅堂ミナトぉおおお～～～ッ！！！」	“狮堂凑————！！！”
「いい加減にしないかお前達ッ！！」	“你们几个闹够了没有！！”
「既にホームルームの時間は過ぎているッ！！\nさっさと教室へ行かんかッ！！」	“班会时间早就过了！！\n还不赶紧去教室！！”
「わ、ユリ先生…！」	“哇，百合老师……！”
「やば…！ユリちゃん怒ると怖いのよね…ッ！」	“糟了……！百合发起火来很可怕……！”
「どやされない内に早く教室行こ！」	“趁她还没骂人，快回教室！”
「それじゃあね！川島君！」	“回头见，川岛同学！”
「ああ。またね。\n僕の女の子達。」	“嗯，再见。\n我的女孩们。”
「まったく。ウチの生徒達ときたら\nしょうがない奴等だ。」	“真是的，我们学校这些学生，\n一个个都让人不省心。”
「まったくその通りよね！」	“说得一点没错！”
「同感です。」	“我也有同感。”
「馬鹿者！お前達もだ！\n<ruby=しどう>獅堂</ruby>！<ruby=たてがみ>盾守</ruby>！」	“笨蛋！我也在说你们！\n<ruby=しどう>狮堂</ruby>！<ruby=たてがみ>盾守</ruby>！”
「そ、そんな～！\n私は止めようとしたんですよ～！\nユリ先生～！」	“怎、怎么这样～！\n我明明想阻止她们～！\n百合老师～！”
