# Chapter 1 continuation: Eisen duel and KAGUTSUCHI confrontation
「……おいアイゼン。\nサツキのサイコパス癖、\n何とかした方がいいんじゃねーか？」	“……喂，艾森。\n皋月的反社会倾向，\n你不觉得该想办法纠正吗？”
「俺はサツキの全てを受け入れる。\nサツキがお前をミンチにしろと言うのなら\nそれに従うだけさ。」	“我接受皋月的一切。\n如果皋月要我把你剁成肉酱，\n我只会照做。”
「本当にサツキの事を思うなら、\n間違ってる事は正してやるのが\nサツキの為じゃねーのか？」	“如果你真的为皋月着想，\n纠正她的错误\n不是才对她好吗？”
「……何？」	“……什么？”
「相手に何の疑問を抱かず、\n盲目的に言う事に従うのは\n本当に相手の為なのか？」	“对对方毫无疑问，\n盲目地服从命令，\n真的对对方有益吗？”
「黙れッ！お前に何がわかるッ！」	“闭嘴！你知道什么！”
「違う。そんなの間違ってる。\nそれはただの<ruby=もうしん>妄信</ruby>ッ！\nそんな関係は本物じゃない！」	“不，那是错的。\n那只是<ruby=もうしん>盲信</ruby>！\n那种关系不是真正的关系！”
「黙れと言っているッ！\nいい加減くたばりやがれッ！」	“我叫你闭嘴！\n你也该死心了！”
（怒りをあらわにしたアイゼンは\n俺に向けて大剣を振り下ろそうとする――――）	（艾森怒不可遏，\n正要朝我挥下巨剑————）
（その時、斬り飛ばされた俺の右腕が<ruby=ひらい>飛来</ruby>し\nアイゼンの顔面を殴り飛ばしたッ！）	（就在这时，被砍飞的我右臂<ruby=ひらい>飞来</ruby>，\n一拳把艾森的脸打飞！）
「な、何ィィィィイイイイーーーーーッ！！？！」	“什、什么————！！？！”
「うそ！？どうして！？」	“骗人！？为什么！？”
（殴り飛ばされたアイゼンは\n地面に叩きつけられる。）	（艾森被一拳打飞，\n重重摔在地上。）
（アイゼンは吹っ飛んだ衝撃で\n地面に突き刺さった大剣を取ろうと\n手を伸ばすが）	（艾森伸手去拿因冲击\n插在地上的巨剑，\n可是）
（すかさず、俺は無防備になった\nアイゼンの頭部にリボルバーの銃口を向ける。）	（我趁机把左轮手枪的枪口\n对准毫无防备的艾森头部。）
「テメェ……。\n動けるじゃねーか……。」	“你这家伙……\n原来还能动……”
「まぁな。俺の演技もなかなかのモンだろ？」	“当然。我的演技也很不错吧？”
「ど、どうして…！斬り飛ばされた\nメカワシマくんの右腕が元通りにくっついてるの！」	“怎、怎么会……！被砍飞的\n机械川岛的右臂竟然接回去了！”
「なるほど。右腕を斬り飛ばされたように\n見せかけていたわけか。」	“原来如此。\n你是装作右臂被砍飞。”
「え！？どういうこと！？」	“诶！？怎么回事！？”
「あの時、アイゼンさんに斬撃で\n川島さんの右腕が斬り飛ばされたように見えたのは\n実はロケットパンチを飛ばしていたからなんス。」	“当时看起来像是川岛先生的右臂\n被艾森的斩击砍飞，\n其实是发射了火箭拳。”
「ろ、ろけっとぱんち？」	“火、火箭拳？”
「右腕を失ったと見せかけ\n<ruby=あらかじ>予</ruby>めロケットパンチを飛ばしておき\n絶妙なタイミングでアイゼンにブチ当てる。」	“假装失去右臂，\n<ruby=あらかじ>提前</ruby>发射火箭拳，\n在绝妙时机狠狠撞上艾森。”
「ロケットパンチは遠隔操作で\n飛行軌道を自由に設定できる。\n相手の油断を誘った高等戦術ですな。」	“火箭拳可以远程操控，\n自由设定飞行轨道。\n这是诱使对手松懈的高等战术。”
「チッ。一杯食わされたぜ。」	“啧，被你摆了一道。”
「どうする？まだやるか？」	“怎么样？还要继续吗？”
「降参だ。どのみちこのままやっても\n俺の負けは目に見えてるしな。」	“我投降。反正继续下去\n我也肯定会输。”
「そうか。」	“这样啊。”
（俺はアイゼンの降参を認め、\n構えていた銃を降ろした。）	（我接受艾森投降，\n放下举起的枪。）
「いえーい！この<ruby=きこうしょうぶ>機巧勝負</ruby>！\n我々の勝利ッス！」	“耶！这场<ruby=きこうしょうぶ>机巧对决</ruby>！\n是我们的胜利！”
「えー！また私負けちゃったのー！\nもー！なんでだよー！」	“诶——！我又输了！\n真是的！为什么嘛！”
「まぁ、そうむくれるな。サツキ。」	“别闹别扭了，皋月。”
「俺達はまんまと奴らの策に<ruby=はま>嵌</ruby>った。\nあいつらの方が<ruby=いちまいうわて>一枚上手</ruby>だったという事だ。」	“我们完全<ruby=はま>落入</ruby>了他们的计策。\n只能说明他们<ruby=いちまいうわて>技高一筹</ruby>。”
「まー。\n確かにあんな戦い方してくるなんて\n思わなかったけどさー。」	“嘛，\n确实没想到\n他们会那样战斗。”
「サツキ。機巧勝負は俺達の勝ちだ。\nこの道を通してくれるな？」	“皋月，机巧对决是我们赢了。\n能让我们通过吗？”
「はいはい。わかりましたよーだ。\n通っていいですよーだ。」	“好啦好啦，知道了。\n你们可以通过啦。”
（サツキは機嫌を悪そうにしながらも\n道を譲ってくれた。）	（皋月虽然一脸不高兴，\n还是让开了路。）
「それでは五月雨さん。\n我々はこの先に用がありますので\nお先に失礼しますよ。」	“那么五月雨小姐，\n我们还有事要办，\n先告辞了。”
「川島。」	“川岛。”
「なんだよ？」	“干什么？”
「お前は言ったな。\nサツキが間違っていたら正すのが本物だと。」	“你说过吧。\n如果皋月错了，就应该纠正她，这才是真正的关系。”
「お前はサツキが間違っていると思うか？」	“你觉得皋月错了吗？”
「ああ。少なくともフェイリクスに\n付き従ってるのは間違ってるだろ。」	“嗯。至少盲目跟随费利克斯\n肯定是错的。”
「俺はフェイリクスをぶっ倒し\nサツキをフェイリクスの<ruby=じゅばく>呪縛</ruby>から\n解き放ってやるのさ。」	“我要打倒费利克斯，\n把皋月从费利克斯的<ruby=じゅばく>束缚</ruby>中\n解放出来。”
「………なるほどな。\n俺はサツキが望んだ事ならば\nそれでいいと思っていた。」	“……原来如此。\n我以前觉得只要是皋月想要的，\n那就够了。”
「だが、確かにフェイリクスの\n言いなりになっているサツキを\n見ているのは良い気分はしない。」	“但看着皋月\n任由费利克斯摆布，\n确实令人不快。”
「川島。野郎を倒して\nサツキを自由にしてやってくれ。」	“川岛，打倒那家伙，\n让皋月恢复自由。”
「ああ。任せろ。」	“好，交给我。”
「ほな。」	“那就这样。”
