# Chapter 1 continuation: student council meeting and Felix negotiation
「盾なんとかの癖になってなによ！\nどういう言いがかりよ！？\nっていうかいい加減人の名前覚えろ！」	“什么叫‘什么盾牌的’！\n你这是什么无理取闹！？\n话说回来，你也该记住别人的名字了吧！”
「いい加減にしないか！お前達！\n事あるごとに喧嘩するんじゃない！」	“你们够了！\n别一有点事就吵架！”
「獅堂。五月雨は無事だ。\n事情を説明するから着席しろ。」	“狮堂，五月雨平安无事。\n我会说明情况，先坐下。”
「は……はい。」	“是……是。”
「チッ。ユリ先生の手間を\n取らせんじゃないわよ。\n獅堂ミナト。」	“啧。别给百合老师\n添麻烦了，\n狮堂凑。”
「あ？」	“啊？”
「やめないか。お前達。」	“你们两个，别闹了。”
「五月雨は夜間に\n<ruby=ていこくじゅうこう>帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>に無断侵入し\n<ruby=きこうしょうぶ>機巧勝負</ruby>を行った。」	“五月雨夜间擅自闯入\n<ruby=ていこくじゅうこう>帝国重工</ruby>・<ruby=せいたいこうがくけんきゅうじょ>生体工学研究所</ruby>，\n并进行了<ruby=きこうしょうぶ>机巧对决</ruby>。”
「母親であるカグヤ殿が娘の夜遊びに\n大層お怒りでな。五月雨をしばらくの間、\n自宅謹慎にしたのだ。」	“她的母亲辉夜大人\n对女儿夜游一事大为震怒，\n所以让五月雨暂时居家反省。”
「そ、そんな…っ！\nしばらくの間、自宅謹慎って…！\n五月雨さんはいつ戻って来れるんですか！？」	“怎、怎么会……！\n暂时居家反省……！\n五月雨小姐什么时候才能回来！？”
「さあな。\n少なくともカグヤ殿の怒りが収まるまでは\n学校には来られないだろう。」	“谁知道。\n至少在辉夜大人消气之前，\n她应该来不了学校。”
「そ……そんな……っ。\n五月雨さんと\nもう二度と会えないなんて……っ。」	“怎……怎么会……。\n我再也\n见不到五月雨小姐了……”
「五月雨さんが居ない世界で……っ。\n私は……私はこれから\nどうやって生きて行けばいいのよ……っ。」	“在没有五月雨小姐的世界里……！\n我……我今后\n要怎么活下去啊……”
「別に二度と会えない事は無いでしょう。\nあんたいちいち<ruby=おおげさ>大袈裟</ruby>過ぎるのよ。」	“又不是永远见不到。\n你也太<ruby=おおげさ>夸张</ruby>了吧。”
「というわけで五月雨が復学するまで\n学園生徒会・四天王も欠席という事だ。」	“所以在五月雨复学之前，\n学园学生会・四天王也暂时缺席。”
「そう。今回集まってもらったのは他でも無い。\n先の帝国重工・生体工学研究所での\n機巧勝負の件だ。」	“没错。这次把你们叫来，\n就是为了之前在帝国重工・生体工学研究所\n进行机巧对决的事。”
「サツキとミナトはノエル達に機巧勝負を挑んだ。\nしかし、二人共負けてしまった。\nこれは重く受け止めなければならない事実だ。」	“皋月和凑向诺艾尔她们发起了机巧对决。\n可是，两人都输了。\n这是必须严肃面对的事实。”
「なぜなら学園生徒会・四天王が\n二人も敗北してしまったんだからね。」	“因为学园学生会・四天王\n竟然有两人败北了。”
「く……っ！ち、違うんです川島さん…っ！\nあの日、私と五月雨さんは調子が悪かっただけなんです…っ！」	“唔……！不、不是这样的，川岛先生……！\n那天我和五月雨小姐只是状态不好……！”
「あの日は夜間で見通しも悪く圧倒的に不利な状況だった…っ！\nお<ruby=てんとさま>天道様</ruby>が照らす<ruby=はくちゅうどうどう>白昼堂々</ruby>であれば\n絶対に負けはしなかった…っ！」	“那天是夜间，视野很差，情况对我们极其不利……！\n如果是在<ruby=てんとさま>天道大人</ruby>照耀下的<ruby=はくちゅうどうどう>光天化日</ruby>，\n我们绝对不会输……！”
「それは相手も同じでしょう？\n負け惜しみなんて見苦しいわよ。\n獅堂ミナト。」	“对手不也一样吗？\n死不认输的样子很难看哦，\n狮堂凑。”
「なんだと…！？\n負け犬が調子に乗るなッ！」	“你说什么……！？\n败犬别得意忘形！”
「はぁ！？あんただって負け犬じゃない！\nなんなら、私はまだ１回しか負けてないし、\nあんたは２回負けてるんだからあんたの方が負け犬よ！」	“哈！？你不也是败犬吗！\n再说了，我只输过一次，\n你可是输过两次，你才是败犬！”
「はっ！それはあんたが１回しか\n戦う機会を与えられない弱者だから！\n川島さんに信用されてない証拠よ！」	“哈！那是因为你这个弱者\n只被允许战斗一次！\n这就证明川岛先生根本不信任你！”
「あんですってぇえええ～～ッ！！\n獅堂ミナトぉおおお～～～ッ！！」	“你说什么——！！\n狮堂凑——！！”
「いい加減にしろ！お前達！\n何度も言わせるな！\nユートの<ruby=ごぜん>御前</ruby>だぞ！」	“你们够了！\n别让我再说第二遍！\n这里可是悠斗的<ruby=ごぜん>面前</ruby>！”
「あ……っ。か、川島さん。\nすみません、つい感情的になってしまって…。」	“啊……！川、川岛先生。\n抱歉，我一时没控制住情绪……”
「ご、ごめんね…。ユート……。\nもしかして怒ってる……？」	“对、对不起……悠斗……。\n你是不是生气了……？”
「いや、怒ってないよ。\nただ、今回は僕にとっても予想外だったんだ。」	“不，我没生气。\n只是这次的结果也出乎我的意料。”
「う……っ。」	“呜……”
「やっぱり怒ってる……っ。」	“果然还是生气了……”
「……ユートは怒っていないと\n言ってるようだが。」	“……悠斗说了\n他没有生气。”
「サツキのガラハドも、\nミナトのアルバトロスも\nどちらも帝国重工の軍事用オートマタだ。」	“皋月的加拉哈德，\n凑的ALBATROSS，\n都是帝国重工的军用自动人偶。”
「どちらのオートマタも圧倒的な戦闘力を誇る。\n並みのオートマタでは<ruby=たちう>太刀打</ruby>ち出来ない程にね。」	“这两台自动人偶都拥有压倒性的战斗力。\n普通的自动人偶根本无法<ruby=たちう>匹敌</ruby>。”
「その証拠にガラハドは\nノエルが操るメカワシマを圧倒していた。\n<ruby=めいじつとも>名実共</ruby>に戦力差は歴然。」	“证据就是，加拉哈德曾经\n压倒诺艾尔操纵的机械川岛。\n无论<ruby=めいじつとも>名义还是实际</ruby>，战力差都一目了然。”
「しかし、先の生体工学研究所での機巧勝負においては\nメカワシマにあっさりと倒されてしまっている。\n軍事用オートマタのガラハドが、だ。」	“可是，在之前生体工学研究所的机巧对决中，\n军用自动人偶加拉哈德\n却被机械川岛轻易击败了。”
「そして、ノエルのサポートがあったとはいえ、\nミナトが操る高機動飛行型オートマタ・アルバトロス\nでさえも撃破している。」	“而且，虽然有诺艾尔支援，\n就连凑操纵的高机动飞行型自动人偶ALBATROSS\n也被击破了。”
「しかも、こちらが得意とする空中戦でね。」	“还是在我们最擅长的空战中。”
「………ううっ。」	“……呜。”
