# Chapter 1 continuation: the guardians depart
「あら、もうこんな時間。\n早く帰って夕ご飯の<ruby=したく>支度</ruby>しなくちゃいけませんね。」	“哎呀，已经这么晚了。\n得赶紧回去<ruby=したく>准备</ruby>晚饭才行。”
「私もお店の開店準備しなきゃだわ。」	“我也得准备酒吧开门了。”
「ミナトお嬢様。\n今日のお夕飯はハンバーグですよ。」	“凑大小姐，\n今天晚餐是汉堡肉饼。”
「あ…っ！ニンジン！\nニンジンは抜いてちょうだい！」	“啊……！胡萝卜！\n请把胡萝卜挑出去！”
「ダメです。\nそうやっていつもニンジンを残すのですから。\n今日こそはちゃんと食べてくださいね。」	“不行。\n你总是这样把胡萝卜剩下。\n今天一定要好好吃掉。”
「く…っ！何よ使用人の癖に！\n生意気よ…っ！」	“可恶……！你不过是个佣人！\n少得意忘形了……”
「獅堂ミナトってニンジン嫌いなんだ……。」	“原来狮堂凑讨厌胡萝卜……”
「それでは保護者の皆様は\nあちらからお帰り下さい。」	“那么，各位家长请从那边\n离开。”
「ご来校ありがとうございました。\n道中お気を付けて。」	“感谢各位来校。\n回去路上请多加小心。”
「それでは失礼します。川島先生。」	“那么告辞了，川岛老师。”
「じゃあねー。ユリヒメ。」	“再见啦，百合姬。”
「バイバイ、ユリヒメー。」	“拜拜，百合姬。”
「サツキ。いつまでも\nお人形遊びなんてしていないで\nいい加減帰りますよ。」	“皋月，别一直\n玩人偶游戏了，\n差不多该回家了。”
「帰ロー。サツキー。」	“回家吧，皋月。”
「サツキ？」	“皋月？”
「ごめんなさい。お母さん。\n私、まだ帰れない。」	“对不起，妈妈。\n我现在还不能回去。”
「私にはまだやる事があるから。」	“我还有必须做的事。”
「……それはあなたの意志かしら？」	“……那是你的意志吗？”
「そう。これは私の……私自身の意志。」	“是的。这是我的……我自己的意志。”
「……わかったわ。」	“……我明白了。”
「この件に関しては私はもう口を挟まない。\nけれど、門限は守る事。いいわね？」	“这件事我不再插手。\n但是，必须遵守门禁。听见了吗？”
「うん。わかった。\nありがとう。お母さん。」	“嗯，我知道了。\n谢谢你，妈妈。”
「風月。行くわよ。」	“风月，我们走。”
「ハーイ。マスター。」	“好——，主人。”
「先帰ッテルゾ。サツキ。」	“我们先回去啦，皋月。”
「うん。またねー。」	“嗯，再见。”
「さて、我々も撤収するとしましょうか。\n川島さん。」	“好了，我们也撤退吧，\n川岛先生。”
「外にタクシーを待たせてる事ですし。」	“出租车还在外面等着呢。”
